file_name,date,year,venue,toss_winner,toss_decision,first_batting_team,second_batting_team,first_batting_team_score,winner,won_by,win_margin
1082591.json,2017-04-05,2017,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,field,Sunrisers Hyderabad,Royal Challengers Bangalore,207,Sunrisers Hyderabad,runs,35.0
1082592.json,2017-04-06,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,Mumbai Indians,Rising Pune Supergiant,184,Rising Pune Supergiant,wickets,7.0
1082593.json,2017-04-07,2017,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,field,Gujarat Lions,Kolkata Knight Riders,183,Kolkata Knight Riders,wickets,10.0
1082594.json,2017-04-08,2017,Holkar Cricket Stadium,Kings XI Punjab,field,Rising Pune Supergiant,Kings XI Punjab,163,Kings XI Punjab,wickets,6.0
1082595.json,2017-04-08,2017,M.Chinnaswamy Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Delhi Daredevils,157,Royal Challengers Bangalore,runs,15.0
1082596.json,2017-04-09,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,field,Gujarat Lions,Sunrisers Hyderabad,135,Sunrisers Hyderabad,wickets,9.0
1082597.json,2017-04-09,2017,Wankhede Stadium,Mumbai Indians,field,Kolkata Knight Riders,Mumbai Indians,178,Mumbai Indians,wickets,4.0
1082598.json,2017-04-10,2017,Holkar Cricket Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kings XI Punjab,148,Kings XI Punjab,wickets,8.0
1082599.json,2017-04-11,2017,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,field,Delhi Daredevils,Rising Pune Supergiant,205,Delhi Daredevils,runs,97.0
1082600.json,2017-04-12,2017,Wankhede Stadium,Mumbai Indians,field,Sunrisers Hyderabad,Mumbai Indians,158,Mumbai Indians,wickets,4.0
1082601.json,2017-04-13,2017,Eden Gardens,Kolkata Knight Riders,field,Kings XI Punjab,Kolkata Knight Riders,170,Kolkata Knight Riders,wickets,8.0
1082602.json,2017-04-14,2017,M Chinnaswamy Stadium,Mumbai Indians,field,Royal Challengers Bangalore,Mumbai Indians,142,Mumbai Indians,wickets,4.0
1082603.json,2017-04-14,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,field,Rising Pune Supergiant,Gujarat Lions,171,Gujarat Lions,wickets,7.0
1082604.json,2017-04-15,2017,Eden Gardens,Sunrisers Hyderabad,field,Kolkata Knight Riders,Sunrisers Hyderabad,172,Kolkata Knight Riders,runs,17.0
1082605.json,2017-04-15,2017,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,Kings XI Punjab,188,Delhi Daredevils,runs,51.0
1082606.json,2017-04-16,2017,Wankhede Stadium,Mumbai Indians,field,Gujarat Lions,Mumbai Indians,176,Mumbai Indians,wickets,6.0
1082607.json,2017-04-16,2017,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Rising Pune Supergiant,Royal Challengers Bangalore,161,Rising Pune Supergiant,runs,27.0
1082608.json,2017-04-17,2017,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,Kolkata Knight Riders,168,Kolkata Knight Riders,wickets,4.0
1082609.json,2017-04-17,2017,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Sunrisers Hyderabad,Kings XI Punjab,159,Sunrisers Hyderabad,runs,5.0
1082610.json,2017-04-18,2017,Saurashtra Cricket Association Stadium,Gujarat Lions,field,Royal Challengers Bangalore,Gujarat Lions,213,Royal Challengers Bangalore,runs,21.0
1082611.json,2017-04-19,2017,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Delhi Daredevils,191,Sunrisers Hyderabad,runs,15.0
1082612.json,2017-04-20,2017,Holkar Cricket Stadium,Mumbai Indians,field,Kings XI Punjab,Mumbai Indians,198,Mumbai Indians,wickets,8.0
1082613.json,2017-04-21,2017,Eden Gardens,Gujarat Lions,field,Kolkata Knight Riders,Gujarat Lions,187,Gujarat Lions,wickets,4.0
